#ies_format_version: 1.0
#file: 20250714_4000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 5
#timestep_sec: 4.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	register1;	FALSE;	TRUE;	0;	other;	INTEGER,12. -
YYYYMMDD;	hhmmss;	unixtimestamp;	register1
20250714;	124604;	1752477364.000;	       err32
20250714;	124608;	1752477368.000;	       err32
20250714;	124612;	1752477372.000;	       err32
20250714;	124616;	1752477376.000;	       err32
20250714;	124620;	1752477380.000;	       err32
20250714;	124624;	1752477384.000;	       err32
20250714;	124628;	1752477388.000;	       err32
20250714;	124632;	1752477392.000;	       err32
20250714;	124636;	1752477396.000;	       err32
20250714;	124640;	1752477400.000;	       err32
20250714;	124644;	1752477404.000;	       err32
20250714;	124648;	1752477408.000;	       err32
20250714;	124652;	1752477412.000;	       err32
20250714;	124656;	1752477416.000;	       err32
20250714;	124700;	1752477420.000;	       err32
20250714;	124704;	1752477424.000;	       err32
20250714;	124708;	1752477428.000;	       err32
20250714;	124712;	1752477432.000;	       err32
20250714;	124716;	1752477436.000;	       err32
20250714;	124720;	1752477440.000;	       err32
20250714;	124724;	1752477444.000;	       err32
20250714;	124728;	1752477448.000;	       err32
20250714;	124732;	1752477452.000;	       err32
20250714;	124736;	1752477456.000;	       err32
20250714;	124740;	1752477460.000;	       err32
20250714;	124744;	1752477464.000;	       err32
20250714;	124748;	1752477468.000;	       err32
20250714;	124752;	1752477472.000;	       err32
20250714;	124756;	1752477476.000;	       err32
20250714;	124800;	1752477480.000;	       err32
20250714;	124804;	1752477484.000;	       err32
20250714;	124808;	1752477488.000;	       err32
20250714;	124812;	1752477492.000;	       err32
20250714;	124816;	1752477496.000;	       err32
20250714;	124820;	1752477500.000;	       err32
20250714;	124824;	1752477504.000;	       err32
20250714;	124828;	1752477508.000;	       err32
20250714;	124832;	1752477512.000;	       err32
20250714;	124836;	1752477516.000;	       err32
20250714;	124840;	1752477520.000;	       err32
20250714;	124844;	1752477524.000;	       err32
20250714;	124848;	1752477528.000;	       err32
20250714;	124852;	1752477532.000;	       err32
20250714;	124856;	1752477536.000;	       err32
20250714;	124900;	1752477540.000;	       err32
20250714;	124904;	1752477544.000;	       err32
20250714;	124908;	1752477548.000;	       err32
20250714;	124912;	1752477552.000;	       err32
20250714;	124916;	1752477556.000;	       err32
20250714;	124920;	1752477560.000;	       err32
20250714;	124924;	1752477564.000;	       err32
20250714;	124928;	1752477568.000;	       err32
20250714;	124932;	1752477572.000;	       err32
20250714;	124936;	1752477576.000;	       err32
20250714;	124940;	1752477580.000;	       err32
20250714;	124944;	1752477584.000;	       err32
20250714;	124948;	1752477588.000;	       err32
20250714;	124952;	1752477592.000;	       err32
20250714;	124956;	1752477596.000;	       err32
20250714;	125000;	1752477600.000;	       err32
20250714;	125004;	1752477604.000;	       err32
20250714;	125008;	1752477608.000;	       err32
20250714;	125012;	1752477612.000;	       err32
20250714;	125016;	1752477616.000;	       err32
20250714;	125020;	1752477620.000;	       err32
20250714;	125024;	1752477624.000;	       err32
20250714;	125028;	1752477628.000;	       err32
20250714;	125032;	1752477632.000;	       err32
20250714;	125036;	1752477636.000;	       err32
20250714;	125040;	1752477640.000;	       err32
20250714;	125044;	1752477644.000;	       err32
20250714;	125048;	1752477648.000;	       err32
20250714;	125052;	1752477652.000;	       err32
20250714;	125056;	1752477656.000;	       err32
20250714;	125100;	1752477660.000;	       err32
20250714;	125104;	1752477664.000;	       err32
20250714;	125108;	1752477668.000;	       err32
