#ies_format_version: 1.0
#file: 20250724_4000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 5
#timestep_sec: 4.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	register1;	FALSE;	TRUE;	0;	other;	INTEGER,12. -
YYYYMMDD;	hhmmss;	unixtimestamp;	register1
20250724;	104852;	1753334332.000;	           0
20250724;	104856;	1753334336.000;	         102
20250724;	104900;	1753334340.000;	         103
20250724;	104904;	1753334344.000;	         104
20250724;	104908;	1753334348.000;	         104
20250724;	104912;	1753334352.000;	         105
20250724;	104916;	1753334356.000;	         106
20250724;	104920;	1753334360.000;	         107
20250724;	104924;	1753334364.000;	         108
20250724;	104928;	1753334368.000;	         108
20250724;	104932;	1753334372.000;	         109
20250724;	104936;	1753334376.000;	         110
20250724;	104940;	1753334380.000;	         111
20250724;	104944;	1753334384.000;	         112
20250724;	104948;	1753334388.000;	         112
20250724;	104952;	1753334392.000;	         113
20250724;	104956;	1753334396.000;	         114
20250724;	105000;	1753334400.000;	         115
20250724;	105004;	1753334404.000;	         116
20250724;	105008;	1753334408.000;	         116
20250724;	105012;	1753334412.000;	         117
20250724;	105016;	1753334416.000;	         118
20250724;	105020;	1753334420.000;	         119
20250724;	105024;	1753334424.000;	         120
20250724;	105028;	1753334428.000;	         120
20250724;	105032;	1753334432.000;	         121
20250724;	105036;	1753334436.000;	         122
20250724;	105040;	1753334440.000;	         123
20250724;	105044;	1753334444.000;	         124
20250724;	105048;	1753334448.000;	         124
20250724;	105052;	1753334452.000;	         125
20250724;	105056;	1753334456.000;	         126
20250724;	105100;	1753334460.000;	         127
20250724;	105104;	1753334464.000;	         128
20250724;	105108;	1753334468.000;	         128
20250724;	105112;	1753334472.000;	         129
20250724;	105116;	1753334476.000;	         130
20250724;	105120;	1753334480.000;	         131
20250724;	105124;	1753334484.000;	         132
20250724;	105128;	1753334488.000;	         132
20250724;	105132;	1753334492.000;	         133
